SIGLA,CEP,CIDADE,CNPJ,COD OBRA,ENDEREÇO,FONE,INSCR. ESTAD,KM IDA E VOLTA,L.,Ordens de Serviço,PEDÁGIO IDA E VOLTA,UF
151 - PFERRE - Porto Ferreira,13.660-000,Porto Ferreira,56.642.960/0154-84,89296,"Praça Cornélio Procópio, 21 - Centro",(019) 3589-2100,555.115.737.118,,151,,,"SP "
222 - CARAIN - Caraguatatuba,11.665-600,Caraguatatuba,56.642.960/0224-21,331757,"Av. Rio Branco, 1615 – Indaia",(012) 3887-1518,254.153.614.111,,222,,,"SP "
067 - ITARAR - Itararé,18.460-000,Itararé,56.642.960/0069-06,133650,"Rua: São Pedro, 1150 - Centro",(015) 3532-4705,380.033.906.110,,67,,,"SP "
148 - SPVCAR - São Paulo,03.403-002,São Paulo,56.642.960/0150-50,88026,"Av. Conselheiro Carrão, 2100 - Vila Carrão",(011) 6191-8828,117.047.761.116,390,148,VILA CARRÃO (https://www.notion.so/7d1de3542c2b4338a4e8f1b4ff360263?pvs=21),"R$ 87,70","SP "
042 - MGGUAC - Mogi Guaçu,13.840-027,Mogi Guaçu,56.642.960/0046-01,89221,"Rua: Sgto. Aviador Osvaldo Fernandes, 147 – Centro",(019) 3861-0432,455.057.968.117,172,42,MOGI GUAÇU CT (https://www.notion.so/227a2bb9a5ee41ab938c82fb49a3d594?pvs=21),"R$ 39,00","SP "
215 - COTCAU - Cotia,06.725-105,Cotia,56.642.960/0217-00,166502,"Av. Inocêncio Pires de Oliveira, 176 – Centro (C. do Alto)",(011) 4611-4104,278.204.548.112,,215,,,"SP "
230 - ANGMAM - Angra dos Reis,"23.954-095 ",Angra dos Reis,56.642.960/0232-31,363309,"Rua Pres. Getulio Vargas, 1374 – Parque Mambucaba ",(024) 3362-4623,87.023.494,1050,230,ANGRA REIS BR (https://www.notion.so/6a48030bfc65494494f39653da44a302?pvs=21),"R$ 170,60",RJ
225 - RESEAL - Resende,27.521-760,Resende,56.642.960/0228-55,378558,"Rua José Zolvino Coutinho, 157 – Nova Resende",(024) 3355-0502,86.896.176,,225,,,RJ
021 - SAMARO - São Paulo,04.745-001,São Paulo,56.642.960/0023-15,118542,"Alameda Santo Amaro, 370 Sto. Amaro",(011) 5541-8168,111.385.930.116,,21,,,"SP "
150 - SPTUVI - São Paulo,02.304-000,São Paulo,56.642.960/0153-01,118709,"Av. Tucuruvi, 330 - Tucuruvi",(011) 6261-5961,117.121.711.119,380,150,TUCURUVI (https://www.notion.so/16e12400f546450299266cc00ab37a4b?pvs=21),"R$ 87,40","SP "
027 - SANTOS - Santos,11.013-001,Santos,56.642.960/0030-44,135705,"Rua: João Pessoa, 185 - Centro",(013) 3224-9100,633.245.940.119,,27,,,"SP "
146 - CAJAMA - Cajamar,07.776-450,Cajamar,56.642.960/0148-36,94017,"Av. Vereador Joaquim Pereira Barbosa, 210 – Jordanésia",(011) 4447-2784,241.082.156.118,,146,,,"SP "
279 - VASSOU - Vassouras,27.700-000,Vassouras,56.642.960/0280-39,653840,"Rua Academica Eliete Nunes Barbosa, 27 – Centro",,11.700.527,1030,279,VASSOURAS (https://www.notion.so/353be1cb266f4dec83262d71da66878a?pvs=21),"R$ 183,60",RJ
274 - GARCA - Garça,17.400-000,Garça,56.642.960/0275-71,661134,"Rua Sargento Wilson Abel de Oliveira, 200 – Ferraropolis",(014) 3471-2678,315.073.084.111,,274,,,"SP "
232 - ENGECO - Engenheiro Coelho,13.165-000,Engenheiro Coelho,56.642.960/0233-12,359049,"Rua Amadeu Jorge Teresani, 98 – Jd. Amalia",(019) 3857-2031,745.014.638.115,110,232,ENGENHEIRO COELHO (https://www.notion.so/77af979d804f451b87cc769a7afb8bb6?pvs=21),"R$ 39,00","SP "
057 - ITAPVI - Itapevi,06.653-005,Itapevi,56.642.960/0060-60,88602,"Av.: Rubens Caramez, 411 - Centro",(011) 4141-4620,373.030.161.111,,57,,,"SP "
182 - TREMBE - Tremembé,12.120-000,Tremembé,56.642.960/0184-08,93988,"R: 7 de Setembro, 521 centro",(012) 3674-1383,695.078.364.113,,182,,,"SP "
055 - FEVASC - Ferraz Vasconcelos,08.500-020,Ferraz Vasconcelos,56.642.960/0057-64,122365,"Av.: Brasil, 1300 - Centro",(011) 4674-0779,305.034.253.110,,55,,,"SP "
001 - INDAIA - Indaiatuba,13.330-180,Indaiatuba,56.642.960/0003-71,88530,"Rua: Candelária, 677 - Centro",(019) 3834-4411,353.002.126.119,,1,,,"SP "
163 - PEDERN - Pederneiras,17.280-000,Pederneiras,56.642.960/0163-75,89298,"Rua Nove de Julho, 125 - Centro",(014) 3284-5324,515.084.185.110,302,163,PEDERNEIRAS (https://www.notion.so/46e2fb975e2748c1af3c926e27236e2d?pvs=21),"R$ 83,60","SP "
189 - ARCOS - Arcos,35.588-000,Arcos,56.642.960/0190-48,133581,"Rua Jarbas Ferreira Pires, 423 – Centro",(037) 3351-4830,525.649.701.1628,,189,,,MG
011 - LIMEIR - Limeira,13.480-050,Limeira,56.642.960/0013-43,103267,"Rua: Alferes Franco, 338 - Centro",(019) 3441-0126,417.053.124.116,60,11,LIMEIRA CT (https://www.notion.so/ea55401502734d6e865f04abf7b92231?pvs=21),"R$ 16,40","SP "
280 - ILHABE - ILHABELA,11.630-000,ILHABELA,56.642.960/0281-10,777702,"AV. Princesa Isabel, 1449 - Perequê",(012)3896-5731,352.060.327.115,,280,,,"SP "
155 - CERQUI - Cerquilho,18.520-000,Cerquilho,56.642.960/0156-46,89306,"Rua da Paineira, 15 - Centro",(015) 3284-2902,265.092.764.115,210,155,"CERQUILHO (https://www.notion.so/80cacf450c9041dcaf91b28cdaa9f622?pvs=21), CERQUILHO (https://www.notion.so/ea349b2eb81649d9b6638a5b33e1569b?pvs=21)","R$ 41,40","SP "
252 - BANDEI - Bandeirantes,86.360-000,Bandeirantes,56.642.960/0254-47,731985,"Av. Bandeirantes, 1012 – Centro",(043) 3145-4343,90.763.685-27,,252,,,PR
190 - MACHAD - Machado,37.750-000,Machado,56.642.960/0191-29,135653,"Av. Barão do Rio Branco, 140 – Centro",(035) 3295-8408,525.649.701.1709,,190,,,MG
210 - BOAESP - Boa Esperança,37.170-000,Boa Esperança,56.642.960/0211-07,259791,"Rua 02 de Novembro, 95 – Centro",(035) 3851-3223,525.649.701.2128,,210,,,MG
195 - SCPALM - Sta Cruz Palmeiras,13.650-000,Sta Cruz Palmeiras,56.642.960/0195-52,129170,"Rua XV de Novembro, 448 – Centro"," (018) 3362-1936",611.017.563.110,,195,,,"SP "
233 - SCAPRA - São Carlos,13.574-040,São Carlos,56.642.960/0235-84,342546,"Av. Sallum, 787 – Vila Prado",(016) 3501-1104,637.370.980.111,,233,,,"SP "
104 - COLOMB - Colombo,83.408-000,Colombo,56.642.960/0104-15,274262,"Estr.: Da Ribeira, 137 - Centro",(041) 3663-5737,90.229.683.24,,104,,,PR
098 - QUEIMA - Queimados,26.325-282,Queimados,56.642.960/0102-53,124945,"Rua: Ver. Marinho H. Oliveira, 100 - Centro",(021) 2665-2278,86.393.573,,98,,,RJ
062 - ITAPRA - Itapira,13.970-160,Itapira,56.642.960/0065-74,87807,"Rua: Comendador João Cintra, 370 - Centro",(019) 3863-2139,374.039.074.118,,62,,,"SP "
198 - SOREDE - Sorocaba,18.103-000,Sorocaba,56.642.960/0200-54,196809,"Avenida Independência, 4970 – Éden",(015) 3225-3394,669.695.226.112,310,198,SOROCABA EDEM (https://www.notion.so/34beda24c53b429f8a0de1b379d97e5a?pvs=21),"R$ 53,60","SP "
258 - ARACAR - Araçariguama,18.147-000,Araçariguama,56.642.960/0258-70,518012,"Av. Nicolau Ferreira de Souza, 40 – Centro",(011) 4136-4221,734.022.927.117,310,258,ARAÇARIGUAMA (https://www.notion.so/456a578eb78d49638ff01b98e76ba823?pvs=21),"R$ 60,20","SP "
